db,category_name,n,energy_mean_kcal,energy_sd,protein_mean_g,protein_sd,fat_mean_g,fat_sd,carb_mean_g,carb_sd,salt_eq_mean_g,salt_eq_sd
US,Sausages Hotdogs & Brats,4831,274.3,72.6,15.7,4.9,21.9,8.0,3.3,3.4,2.2,0.8
JB,ソーセージ・ウインナー,64,275.0,64.4,11.2,1.7,22.7,8.9,6.5,5.1,1.8,0.3
US,Bacon Sausages & Ribs,1655,404.4,147.9,25.9,10.2,32.2,14.6,2.3,5.2,3.5,1.6
JB,ベーコン,13,256.9,48.4,15.0,0.9,20.8,5.8,2.3,1.6,2.1,0.4
US,Other Meats,2377,199.6,79.7,17.8,6.8,12.0,8.4,4.7,7.5,0.8,1.0
JB,その他食肉加工品,56,224.2,70.6,15.5,6.6,13.3,7.0,10.5,6.7,1.9,1.5
US,Poultry Chicken & Turkey,814,148.1,49.1,19.2,3.1,7.0,5.4,1.8,3.3,0.7,0.7
JB,その他食肉加工品,11,182.1,50.6,18.5,2.7,8.9,3.8,7.0,8.4,1.9,0.7
US,Milk,4622,75.1,65.4,4.1,4.2,2.5,2.9,9.0,10.8,0.2,0.1
JB,牛乳・加工乳,115,61.4,44.2,3.5,4.3,2.9,1.5,5.3,6.5,0.1,0.1
JB,乳飲料,28,51.6,21.3,1.9,1.4,1.0,1.6,9.1,3.3,0.1,0.1
US,Yogurt,7013,86.0,33.3,5.5,2.9,2.0,2.7,11.6,5.3,0.1,0.1
JB,ヨーグルト,158,68.6,24.5,3.5,1.6,1.7,1.4,10.1,4.2,0.1,0.0
JB,乳飲料,20,54.6,23.9,2.1,1.6,0.5,0.7,10.8,4.5,0.1,0.1
US,Cheese,18108,326.2,91.9,20.4,17.0,25.3,9.4,4.9,5.8,1.8,1.0
JB,チーズ,108,271.9,128.3,16.4,9.5,21.9,10.2,2.3,2.8,1.6,1.0
US,Butter & Spread,1854,646.1,173.3,0.7,4.7,69.9,21.7,4.1,12.4,1.2,1.0
JB,バター・マーガリン,33,454.6,329.4,0.3,0.3,49.7,36.3,1.6,5.2,0.6,0.6
US,Cream,1679,205.2,93.7,2.5,2.9,17.7,10.9,7.2,8.5,0.2,0.3
JB,クリーム,26,372.3,188.7,3.2,2.8,29.0,15.8,24.0,22.3,0.3,0.3
US,Chips Pretzels & Snacks,12520,492.9,69.1,8.2,7.1,25.1,10.0,59.5,11.8,1.7,1.0
JB,スナック菓子,266,495.2,94.1,6.4,2.6,26.1,9.2,59.0,12.5,1.4,0.7
US,Popcorn Peanuts Seeds & Related Snacks,22050,536.7,92.8,13.8,7.5,38.5,17.3,40.7,23.8,0.8,1.3
JB,スナック菓子,34,557.2,123.7,17.3,6.4,40.2,17.4,33.7,18.2,0.7,0.7
JB,その他菓子,11,649.3,56.4,19.0,3.5,55.2,12.1,21.4,10.7,0.2,0.3
US,Snacks,1090,456.8,80.3,6.8,4.1,20.0,11.7,63.9,13.7,1.8,0.9
JB,スナック菓子,25,475.0,44.5,7.7,3.7,20.5,7.3,66.2,8.3,1.1,0.9
US,Wholesome Snacks,6276,270.1,149.5,2.3,4.2,3.8,10.7,58.1,29.6,0.2,0.7
JB,スナック菓子,12,174.7,183.4,2.2,3.4,6.5,9.1,27.6,32.3,0.2,0.5
US,Chocolate,10818,509.2,72.4,6.8,6.3,30.9,10.3,56.3,13.2,0.3,0.6
JB,チョコレート,233,431.9,212.4,5.6,3.3,26.1,13.8,44.4,23.0,0.2,0.2
US,Candy,22849,386.5,83.1,2.8,4.2,7.4,14.8,79.5,18.0,0.3,0.6
JB,キャンデー・グミ,81,357.5,91.6,2.8,3.0,4.2,5.8,79.0,16.4,0.3,0.7
US,Cookies & Biscuits,13311,455.8,62.9,5.7,4.6,20.0,7.9,65.0,10.5,0.7,0.4
JB,ビスケット・クッキー,109,483.5,67.6,6.8,2.1,22.9,7.9,63.7,8.4,0.6,0.3
US,Cakes Cupcakes Snack Cakes,9423,379.6,69.9,4.1,2.7,17.7,6.2,52.2,12.2,0.8,0.3
JB,洋菓子・ケーキ,105,410.7,114.1,5.9,2.1,20.6,9.3,50.8,17.5,0.4,0.2
US,Puddings & Custards,1253,222.4,126.0,2.0,2.6,3.8,5.5,45.9,32.9,1.6,2.6
JB,洋菓子・ケーキ,16,121.0,15.9,2.1,1.5,4.8,0.9,17.5,3.0,0.1,0.0
US,Ice Cream & Frozen Yogurt,13362,210.6,72.2,3.4,1.9,10.1,6.3,27.9,8.4,0.2,0.4
JB,アイスクリーム・氷菓,145,162.5,99.5,2.6,2.4,7.3,4.9,22.0,19.9,0.1,0.2
US,Other Frozen Desserts,2003,254.8,98.1,3.3,3.4,13.2,8.4,32.2,10.9,0.4,0.3
JB,アイスクリーム・氷菓,62,98.2,61.1,0.9,1.2,2.1,5.1,19.1,6.7,0.1,0.1
US,Gelatin Gels Pectins & Desserts,899,261.8,159.9,12.7,20.8,0.2,1.5,49.3,38.1,1.1,1.6
JB,アイスクリーム・氷菓,12,59.7,20.5,0.1,0.1,0.0,0.0,15.0,4.5,0.1,0.0
US,Confectionery Products,959,254.0,177.4,1.5,3.0,5.0,10.8,54.3,36.5,0.1,0.2
JB,その他菓子,17,255.8,107.3,1.0,0.8,0.4,0.9,63.4,26.6,0.1,0.1
US,Fruit & Vegetable Juice Nectars & Fruit Drinks,9111,43.9,31.7,0.3,0.8,0.0,0.4,10.7,7.9,0.1,0.5
JB,果汁・野菜飲料,334,39.1,14.8,0.4,0.4,0.0,0.1,9.5,3.8,0.1,0.1
US,Soda,8049,31.2,27.1,0.0,0.4,0.0,0.2,8.1,7.0,0.1,1.0
JB,炭酸飲料,68,34.2,31.5,0.0,0.1,0.0,0.0,8.8,7.6,0.0,0.1
US,Coffee,479,209.8,206.9,4.4,8.9,6.5,12.4,31.9,32.9,0.6,1.0
JB,コーヒー飲料,160,37.9,59.0,1.0,1.6,0.8,1.9,6.9,9.7,0.1,0.2
US,Iced & Bottle Tea,2285,22.5,31.2,0.1,0.4,0.0,0.6,5.5,6.8,0.0,0.1
JB,緑茶・ほうじ茶,58,1.8,11.9,0.1,0.4,0.1,0.4,0.3,1.7,0.0,0.0
JB,紅茶・ウーロン茶,44,21.9,20.6,0.3,0.6,0.3,0.5,4.6,4.2,0.1,0.1
US,Tea Bags,1577,53.2,125.6,1.1,6.8,0.6,4.2,17.0,30.5,0.3,1.5
JB,緑茶・ほうじ茶,60,77.8,145.9,2.1,6.0,0.3,1.2,16.0,31.1,0.1,0.2
US,Tea and Infusions/Tisanes,27,4.3,15.6,0.0,0.0,0.0,0.0,1.2,4.2,0.0,0.1
JB,緑茶・ほうじ茶,22,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.0
US,Sport Drinks,786,22.1,41.9,0.2,2.6,0.0,0.2,5.4,9.9,0.5,2.3
JB,スポーツ・機能性飲料,86,41.0,69.3,0.2,0.4,0.0,0.1,10.7,17.6,0.2,0.6
US,Plant Based Milk,1500,58.7,76.8,2.3,8.2,3.4,5.6,5.0,7.7,0.2,0.5
JB,豆乳飲料,26,54.0,13.7,3.6,1.4,2.3,0.8,4.8,2.5,0.1,0.1
JB,その他飲料,21,25.2,16.1,0.5,0.4,1.5,1.2,2.9,2.3,0.1,0.1
JB,乳飲料,10,30.0,19.4,0.7,0.6,0.1,0.2,6.6,4.5,0.1,0.1
US,Other Drinks,4941,38.1,62.0,1.1,5.1,0.6,2.6,7.3,10.4,0.1,0.9
JB,その他飲料,60,56.8,61.4,1.0,1.5,0.3,0.7,13.4,16.9,0.1,0.1
JB,コーヒー飲料,14,99.2,143.3,2.9,4.6,2.6,4.2,16.1,22.2,0.2,0.3
JB,乳飲料,11,51.9,18.2,1.2,0.3,0.0,0.0,11.9,4.3,0.0,0.0
JB,チューハイ・カクテル,10,45.2,16.7,0.0,0.0,0.0,0.0,4.5,2.5,0.1,0.1
US,Water,5905,5.0,30.4,0.1,2.3,0.0,2.0,1.2,7.0,0.0,0.6
JB,その他飲料,59,0.2,1.6,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.0
JB,炭酸飲料,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US,Powdered Drinks,4348,335.1,137.9,6.2,13.8,5.8,11.7,64.8,31.4,1.7,3.0
JB,その他飲料,22,348.2,108.4,5.7,4.9,3.4,4.0,76.4,23.6,0.7,0.7
JB,スープ,11,411.5,26.9,12.3,11.0,14.2,3.7,58.8,18.1,10.3,6.0
US,Beer,3,41.0,16.5,0.2,0.3,0.0,0.1,6.2,6.7,0.1,0.1
JB,ビール・発泡酒,54,38.3,18.0,0.3,0.2,0.0,0.0,2.8,1.4,0.1,0.3
US,Alcohol,1135,113.8,119.3,0.9,5.0,0.7,4.1,27.9,31.3,1.0,3.2
JB,チューハイ・カクテル,80,45.5,6.5,0.0,0.0,0.0,0.0,2.8,3.3,0.1,0.1
JB,日本酒・焼酎,23,198.5,49.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JB,その他アルコール,18,160.8,75.6,0.0,0.0,0.0,0.0,8.0,13.3,0.1,0.1
US,Alcoholic Beverages,23,52.9,7.3,0.4,0.0,,,,,,
JB,チューハイ・カクテル,20,42.9,8.8,0.0,0.0,0.0,0.0,4.4,3.3,0.1,0.1
US,Seasoning Mixes Salts Marinades & Tenderizers,6736,185.4,168.7,3.4,15.2,4.0,30.3,36.9,41.3,15.8,13.6
JB,その他調味料,77,250.1,118.0,8.6,5.9,7.0,7.7,37.9,20.0,37.9,26.3
JB,料理の素・ミックス,60,352.9,116.2,11.5,5.3,10.5,8.0,53.4,18.0,22.5,14.4
JB,だし・スープの素,24,200.7,115.1,11.5,13.6,5.3,4.3,26.3,17.0,28.3,19.6
JB,煮物・おかず,10,297.2,54.6,12.8,3.9,8.1,5.6,42.5,4.3,30.9,7.3
US,Herbs & Spices,2231,140.2,200.3,3.2,21.2,4.9,24.3,34.6,127.9,9.1,13.2
JB,その他調味料,126,270.0,172.3,8.0,6.6,7.5,8.6,43.2,23.9,8.1,14.8
US,Jam Jelly & Fruit Spreads,3495,228.7,74.2,0.4,3.1,0.6,4.8,57.4,22.9,0.1,0.4
JB,その他調味料,85,193.5,47.5,0.4,0.7,0.1,0.5,48.2,10.6,0.1,0.2
JB,その他菓子,23,207.8,109.8,1.0,1.6,2.2,10.3,47.1,11.8,0.0,0.0
US,Vegetable & Cooking Oils,4423,738.5,267.4,0.2,10.6,84.7,30.4,0.3,4.2,0.0,0.3
JB,その他調味料,30,911.9,18.3,0.0,0.2,99.7,1.2,0.2,1.0,0.0,0.2
US,Nut & Seed Butters,2727,569.0,92.1,19.6,7.9,45.4,12.4,27.1,12.2,0.6,0.5
JB,その他調味料,15,636.4,85.1,16.5,5.0,52.0,13.0,25.4,12.6,0.2,0.4
US,Honey,1391,293.0,38.2,0.2,2.7,0.3,3.6,80.2,9.9,0.0,0.2
JB,その他調味料,14,327.0,8.5,0.0,0.1,0.0,0.0,81.7,2.1,0.0,0.0
US,Other Condiments,624,159.0,100.7,0.6,6.4,0.4,5.5,35.8,24.1,0.1,0.3
JB,その他調味料,11,149.0,133.5,2.2,3.7,5.5,7.3,23.3,18.7,3.5,3.8
US,Granulated Brown & Powdered Sugar,1785,217.9,187.5,0.1,1.9,0.1,1.6,92.0,32.7,0.1,1.1
JB,その他調味料,12,393.4,9.1,0.4,0.5,0.1,0.3,97.6,2.5,0.0,0.0
US,Prepared Pasta & Pizza Sauces,3782,98.9,105.3,2.1,2.0,6.7,11.3,7.9,5.1,1.0,0.7
JB,ソース・ケチャップ,61,174.6,141.7,3.7,3.1,13.1,14.2,9.9,5.5,3.5,3.3
JB,その他レトルト,34,101.3,25.3,3.3,1.8,5.8,2.3,9.0,2.7,1.9,0.8
JB,料理の素・ミックス,16,148.5,126.0,3.5,3.2,9.5,12.7,11.9,3.5,2.9,2.3
US,Ketchup Mustard BBQ & Cheese Sauce,7090,133.7,121.0,0.8,5.0,4.6,12.7,20.9,18.7,3.1,2.8
JB,ソース・ケチャップ,45,98.8,107.2,2.3,2.9,4.4,9.8,12.5,10.6,2.1,1.7
JB,その他調味料,11,225.8,62.3,6.2,2.9,9.8,3.4,31.7,12.7,7.6,1.9
US,Salad Dressing & Mayonnaise,6023,375.1,183.2,2.5,7.2,34.7,23.7,14.1,21.6,2.3,2.9
JB,ドレッシング・マヨネーズ,134,377.8,196.5,2.6,2.9,36.3,23.1,10.2,6.3,3.3,1.0
US,Oriental Mexican & Ethnic Sauces,3710,145.0,125.9,2.6,4.2,5.7,12.4,20.6,16.8,4.6,4.7
