food_id,category_l1_jp,category_l2,food_name_jp,fdc_id,food_name_en,usda_category,confidence,jp_energy_kcal,us_energy_kcal,diff_energy_kcal,jp_protein,us_protein,diff_protein,jp_fat,us_fat,diff_fat,jp_carb,us_carb,diff_carb,jp_fiber,us_fiber,diff_fiber,jp_Ca,us_Ca,diff_Ca,jp_Fe,us_Fe,diff_Fe,jp_K,us_K,diff_K,jp_Zn,us_Zn,diff_Zn,jp_vit_C,us_vit_C,diff_vit_C,jp_vit_A_RAE,us_vit_A_RAE,diff_vit_A_RAE,jp_vit_B1,us_vit_B1,diff_vit_B1,jp_vit_B2,us_vit_B2,diff_vit_B2,jp_vit_D,us_vit_D,diff_vit_D,jp_vit_B12,us_vit_B12,diff_vit_B12,jp_salt_eq,us_salt_eq,diff_salt_eq
01143,穀類,,ライむぎ　ライ麦粉,168886,"Rye flour, medium",Cereal Grains and Pasta,high,324.0,349,25.0,8.5,10.9,2.4,1.2,1.52,0.32,64.4,75.4,11.0,12.9,11.8,-1.1,25.0,24.0,-1.0,1.5,2.54,1.04,140.0,374,234.0,0.7,2.17,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.287,0.137,0.07,0.114,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.005
01144,穀類,,こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含まないもの）,172807,"Cookies, oatmeal, prepared from recipe, without raisins",Baked Products,medium,453.0,447,-6.0,8.9,6.8,-2.1,18.6,17.9,-0.7,65.2,66.4,1.2,5.5,,,220.0,105,-115.0,0.6,2.7,2.1,150.0,182,32.0,0.4,0.93,0.53,0.0,0.2,0.2,1.0,160,159.0,0.16,0.262,0.102,0.19,0.174,-0.016,0.0,,,,0.09,,1.5,1.519,0.019
01148,穀類,,こむぎ　［パン類］　ベーグル,175051,"Bagels, plain, unenriched, without calcium propionate(includes onion, poppy, sesame)",Baked Products,high,270.0,275,5.0,9.6,10.5,0.9,1.9,1.6,-0.3,50.3,53.4,3.1,2.5,2.3,-0.2,24.0,18.0,-6.0,1.3,1.36,0.06,97.0,101,4.0,0.7,0.88,0.18,,0.0,,,0.0,,0.19,0.163,-0.027,0.08,0.052,-0.028,,,,,0.0,,1.2,1.356,0.156
01161,穀類,,こめ　［その他］　米ぬか,169713,"Rice bran, crude",Cereal Grains and Pasta,high,374.0,316,-58.0,13.4,13.4,0.0,17.5,20.8,3.3,27.5,49.7,22.2,20.5,21.0,0.5,35.0,57.0,22.0,7.6,18.5,10.9,1500.0,1480.0,-20.0,5.9,6.04,0.14,0.0,0.0,0.0,0.0,0.0,0.0,3.12,2.75,-0.37,0.21,0.284,0.074,,0.0,,0.0,0.0,0.0,0.0,0.013,0.013
01162,穀類,,とうもろこし　玄穀　白色種,168920,"Corn grain, white",Cereal Grains and Pasta,high,341.0,365,24.0,8.6,9.42,0.82,4.5,4.74,0.24,71.2,74.3,3.1,9.0,,,5.0,7.0,2.0,1.9,2.71,0.81,290.0,287,-3.0,1.7,2.21,0.51,0.0,0.0,0.0,,0.0,,0.3,0.385,0.085,0.1,0.201,0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089,0.089
01163,穀類,,とうもろこし　コーンミール　白色種,169696,"Corn flour, masa, unenriched, white",Cereal Grains and Pasta,high,375.0,363,-12.0,8.3,8.46,0.16,3.6,3.69,0.09,79.7,76.6,-3.1,8.0,6.4,-1.6,5.0,138,133.0,1.5,1.47,-0.03,220.0,262,42.0,1.4,1.8,0.4,0.0,0.0,0.0,,0.0,,0.15,0.223,0.073,0.08,0.097,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.013
01164,穀類,,とうもろこし　コーングリッツ　白色種,172015,"Cornmeal, degermed, unenriched, white",Cereal Grains and Pasta,high,352.0,370,18.0,8.2,7.11,-1.09,0.9,1.75,0.85,82.3,79.4,-2.9,2.4,3.9,1.5,2.0,3.0,1.0,0.3,1.1,0.8,160.0,142,-18.0,0.4,0.66,0.26,0.0,0.0,0.0,,0.0,,0.06,0.14,0.08,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.018
01169,穀類,,こめ　［うるち米製品］　ライスペーパー,169717,"Tapioca, pearl, dry",Cereal Grains and Pasta,high,339.0,358,19.0,0.5,0.19,-0.31,0.2,0.02,-0.18,85.7,88.7,3.0,0.8,0.9,0.1,21.0,20.0,-1.0,1.2,1.58,0.38,22.0,11.0,-11.0,0.1,0.12,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.004,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,-0.3,1.7,0.003,-1.697
01185,穀類,,こめ　［水稲軟めし］　精白米,168932,"Rice, white, short-grain, cooked, unenriched",Cereal Grains and Pasta,high,113.0,130,17.0,1.8,2.36,0.56,,0.19,,27.1,28.7,1.6,1.1,,,3.0,1.0,-2.0,0.1,0.2,0.1,20.0,26.0,6.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,,,0.02,0.02,0.0,0.01,0.016,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
01210,穀類,,こむぎ　［パン類］　くるみパン,175018,"Pie, lemon meringue, prepared from recipe",Baked Products,high,292.0,285,-7.0,8.2,3.8,-4.4,12.5,12.9,0.4,38.4,39.1,0.7,2.4,,,35.0,12.0,-23.0,0.8,1.0,0.2,150.0,65.0,-85.0,0.9,0.28,-0.62,0.0,3.3,3.3,6.0,43.0,37.0,0.11,0.118,0.008,0.09,0.159,0.069,0.1,,,,0.12,,0.8,0.615,-0.185
04006,豆類,,あずき　あん　つぶし練りあん,173729,"Beans, adzuki, mature seeds, canned, sweetened",Legumes and Legume Products,high,239.0,237,-2.0,5.6,3.8,-1.8,0.3,0.03,-0.27,54.7,55.0,0.3,5.7,,,19.0,22.0,3.0,1.5,1.13,-0.37,160.0,119,-41.0,0.7,1.56,0.86,,0.0,,0.0,0.0,0.0,0.02,0.101,0.081,0.03,0.056,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.554,0.454
